GoldenWolf,97.79,47657,5013,122,1317,497
Hieda_no_Akyu,97.71,66119,5013,53,1425,202
sawagani,98.77,58510,5008,157,898,35
OxOb,98.4,21956,5004,82,995,594
Ritzeh,98.77,41937,4998,60,972,216
vidya,98.59,83409,4994,138,1280,1212
benjacala,97.85,60005,4991,18,974,543
[Mashiro],98.84,52721,4984,194,1368,368
Ekoro,98.2,56642,4982,128,961,484
120,98.31,32628,4980,0,579,392
K_N,98.71,29373,4976,76,773,396
ZeonPlay,99.62,141555,4974,4641,3085,119
YoonA-,98.53,43131,4973,46,559,462
R u n e,99.63,31810,4971,666,422,42
Risteel,99.68,55698,5093,1704,1068,3
Vanseq,98.79,56081,5087,102,1353,405
NixXSkate,98.64,106561,5085,2320,215,20
UtiDa_K,97.99,32635,5081,62,936,372
Skyar,98.23,60426,5080,545,5820,2140
Newbieuser,98.14,10318,5077,17,548,473
KagaR,98.27,49010,5074,120,1320,634
KinkehW,99.16,45534,5070,204,1413,218
WalkCat,98.84,49576,5069,168,1992,1150
kafaN,99.45,67664,5066,1684,1207,81
- S a M o M i -,97.37,21954,5065,12,344,1
YoonA-,98.57,45279,5061,53,612,456
- G I D Z -,98.27,53030,5061,83,1074,417
Graphite Edge,98.9,112394,5059,243,2328,813
Mysto-kun,98.79,96227,5055,79,2643,1044
N o i s e,99.19,5486,5051,87,208,0
Mi-mi,98.49,56711,5050,59,2156,746
taku,98.51,31823,5048,151,2386,715
Pyroboom,98.81,76864,5041,116,2587,940
120,98.47,35571,5040,0,619,404
Supy,99.41,127424,5038,436,1993,98
Imamoto,99.28,41034,5036,638,2218,812
triace,98.36,81995,5031,190,1495,323
Ekoro,97.92,58015,5028,130,972,498
[ Mikezom ],98.47,27960,5026,50,734,279
S a d,99.63,49164,5089,241,535,281
Jann,98.72,71211,5085,147,2022,253
AimNeet,99.02,22762,5082,104,843,321
OxOb,98.41,23630,5080,85,1044,630
Shockwave000,98.64,60559,5077,84,1700,671
MrDalis,97.41,83735,5076,51,1018,839
kuu01,98.54,29625,5074,20,383,505
Suzune,98.54,26887,5069,100,655,294
F I L L,98.38,28642,5068,20,1327,492
Tachibana Isana,97.2,92205,5066,52,1393,383
Hakkero,97.99,68184,5061,712,2527,321
3468990,99.27,22541,5061,206,799,321
ethox,98.69,80000,5061,58,781,348
Maozis,99.24,37969,5057,516,662,19
novak,98.22,73987,5053,62,2178,788
Mira-san,98.64,44281,5050,117,762,86
Kanna,98.72,121266,5050,218,2081,745
Aeven,98.88,87864,5046,529,2607,222
RamenOtaku,98.14,45297,5041,288,2336,96
Peace,98.39,20159,5038,198,1194,159
gasanww,99.04,133806,5036,623,2951,144
hykyh92,98.63,16022,5031,32,477,357
MisakaV,99.06,33369,5029,609,2189,255
[Aumoa],98.14,19195,5028,113,1082,726
yukiotokoNy,98.72,65786,5025,184,714,75
[ Zane ],97.74,54543,5025,30,1007,479
momijixi,99.31,27419,5023,260,687,396
HaQu,98.13,56053,5022,67,1481,712
Pantsuki,98.71,69329,5020,77,1284,371
jump728,98.94,28022,5019,154,868,549
koromo,98.98,59118,5018,61,1474,570
[AirCoN],97.47,43385,5017,23,668,421
Kumano,97.84,33904,5017,53,615,191
- SHIKIEIKI,99.11,26278,5014,260,2072,611
Arthur_ Lin,97.29,21235,5009,76,1166,243
sawagani,98.77,58701,5008,157,899,35
N a n a m i,97.88,46607,5005,37,964,626
[ Listen ],98.41,49876,5005,86,823,579
Aria Stardust,99.67,43869,5003,1651,572,34
Aka,97.71,44808,5002,244,1365,764
monomosc,97.99,75159,5001,56,1117,582
nago-don,98.54,40484,4997,168,1555,682
ohyou,98.74,46869,4994,162,1777,1032
Jin_Back7,98.39,44665,4992,82,1712,688
0203okaT,99.03,43327,4989,351,2308,206
kumig,98.77,36883,4987,39,623,650
kablaze,98.79,42122,4982,118,424,498
Nakano-,98.65,68319,4978,551,2372,68
Firstus,98.24,36243,4976,75,1160,703
Breiz,98.77,71424,4974,184,994,163
azuraer,98.84,61989,5024,1495,2429,31
GoldenWolf,97.82,48005,5022,127,1352,507
N a s y a,98.97,130035,5022,1033,1755,31
vidya,98.64,85138,5020,142,1310,1233
Rikuu,99.29,34906,5018,362,1926,300
-Hakase-,99.08,9999,5018,199,553,59
Wave,98.76,67874,5017,89,1005,459
xyxxyxxy,98.85,57480,5014,961,4531,869
gfdsa15987,98.49,73287,5012,33,1024,627
Shiro-,98.53,37822,5009,150,1622,290
Arcley,98.03,38077,5007,48,1153,258
L i d a N,98.93,76236,5005,74,1502,1243
Ne-Lo,98.03,70503,5004,74,1189,180
CHNxE,97.36,60689,5003,22,884,452
